GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jcommon config,com.facebook.config,DoubleExtractor,8,0,0,0,2,0,2,0,2,0
jcommon config,com.facebook.config,SystemPropOverridingJSONProvider,0,59,2,4,0,15,2,4,0,3
jcommon config,com.facebook.config,ConfigException,12,4,0,0,6,2,3,1,3,1
jcommon config,com.facebook.config,FileJSONProvider,22,49,3,5,3,14,3,6,1,4
jcommon config,com.facebook.config,ConfigUtil,51,133,5,18,5,27,6,13,1,3
jcommon config,com.facebook.config,LongExtractor,0,8,0,0,0,2,0,2,0,2
jcommon config,com.facebook.config,BooleanExtractor,8,0,0,0,2,0,2,0,2,0
jcommon config,com.facebook.config,ConfigAccessor,237,205,10,16,43,37,25,17,18,11
jcommon config,com.facebook.config,JSONObjectExtractor,0,7,0,0,0,2,0,2,0,2
jcommon config,com.facebook.config,ExpandedConfFileJSONProvider,14,30,2,2,3,7,3,2,1,2
jcommon config,com.facebook.config,ConfigAccessor.new Extractor() {...},39,0,2,0,10,0,3,0,2,0
jcommon config,com.facebook.config,ConfigProviderImpl,61,0,4,0,17,0,6,0,4,0
jcommon config,com.facebook.config,StringToPeriodMapper,0,9,0,0,0,2,0,2,0,2
jcommon config,com.facebook.config,ClassExtractor,6,8,0,0,2,2,0,2,0,2
jcommon config,com.facebook.config,StringExtractor,3,13,1,1,1,4,1,2,0,2
jcommon config,com.facebook.config,AbstractExpandedConfJSONProvider,0,121,0,12,0,30,0,10,0,4
jcommon config,com.facebook.config,IntegerExtractor,0,8,0,0,0,2,0,2,0,2
jcommon config,com.facebook.config.dynamic,OptionTranslator,0,17,0,0,0,4,0,1,0,1
jcommon config,com.facebook.config.dynamic,OptionTranslator.new OptionWatcher() {...},0,22,0,0,0,3,0,2,0,2
jcommon config,com.facebook.config.dynamic,OptionImpl,0,66,0,4,0,19,0,9,0,7
jcommon config,com.facebook.config.dynamic,StringOptions,0,48,0,2,0,10,0,5,0,4
