GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jcommon util,com.facebook.util.compress,QuickLz,1053,0,75,0,200,0,48,0,8,0
jcommon util,com.facebook.util.serialization,SerDeException,23,0,0,0,10,0,5,0,5,0
jcommon util,com.facebook.util.serialization,SerDeUtils,56,0,4,0,13,0,7,0,5,0
jcommon util,com.facebook.util.digest,LongDigestFunction.new ThreadLocal() {...},17,0,0,0,5,0,2,0,2,0
jcommon util,com.facebook.util.digest,LongMurmur3Hash,2,17,0,0,1,4,1,3,1,3
jcommon util,com.facebook.util.digest,IntegerDigestFunction,16,0,0,0,3,0,2,0,2,0
jcommon util,com.facebook.util.digest,LongDigestFunction,24,0,0,0,4,0,2,0,2,0
jcommon util,com.facebook.util.digest,IntegerIdentityDigest,7,0,0,0,2,0,2,0,2,0
jcommon util,com.facebook.util.digest,MurmurHash,16,106,0,0,4,25,2,5,2,5
jcommon util,com.facebook.util.digest,LongIdentityDigestFunction,11,0,0,0,3,0,3,0,3,0
jcommon util,com.facebook.util,StandardObjectMapper,75,0,0,0,16,0,2,0,2,0
jcommon util,com.facebook.util,StringUtils,25,0,4,0,5,0,4,0,2,0
jcommon util,com.facebook.util,TimeIntervalType.new TimeIntervalType() {...},0,11,0,0,0,2,0,2,0,2
jcommon util,com.facebook.util,Convert,73,0,10,0,18,0,11,0,6,0
jcommon util,com.facebook.util,TimeIntervalType.new TimeIntervalType() {...},0,11,0,0,0,2,0,2,0,2
jcommon util,com.facebook.util,TimeIntervalType.new TimeIntervalType() {...},0,11,0,0,0,2,0,2,0,2
jcommon util,com.facebook.util,TimeIntervalType.new TimeIntervalType() {...},0,11,0,0,0,2,0,2,0,2
jcommon util,com.facebook.util,TimeUtil,140,62,3,7,21,16,8,5,5,3
jcommon util,com.facebook.util,TimeIntervalType.new TimeIntervalType() {...},0,11,0,0,0,2,0,2,0,2
jcommon util,com.facebook.util,TimeIntervalType.new TimeIntervalType() {...},0,11,0,0,0,2,0,2,0,2
jcommon util,com.facebook.util,TimeIntervalType.new TimeIntervalType() {...},0,11,0,0,0,2,0,2,0,2
jcommon util,com.facebook.util,TimeIntervalType.new TimeIntervalType() {...},0,11,0,0,0,2,0,2,0,2
jcommon util,com.facebook.util,StreamImporter,27,0,2,0,6,0,3,0,2,0
jcommon util,com.facebook.util,Validator,39,0,0,0,18,0,4,0,4,0
jcommon util,com.facebook.util,TimeIntervalType,5,222,0,6,0,30,1,10,1,7
jcommon util,com.facebook.util,ExceptionUtils,49,0,2,0,10,0,3,0,2,0
jcommon util,com.facebook.util,Validations,33,0,0,0,17,0,4,0,4,0
jcommon util,com.facebook.util,TimeInterval,0,335,0,46,0,68,0,40,0,17
jcommon util,com.facebook.util,FileUtils,38,0,4,0,11,0,4,0,2,0
